icao24,callsign,origin_country,time_position,last_contact,last_contact_utc,longitude,latitude,geo_altitude,on_ground,velocity,true_track,vertical_rate,baro_altitude,squawk,category
abece7,DAL1028 ,United States,1729029963.0,1729029964,2024-10-15 22:06:04+00:00,-90.3756,42.7282,10622.28,False,258.99,156.59,0.33,10668.0,1601,4
4ca87c,ITY615  ,Ireland,1729029962.0,1729029962,2024-10-15 22:06:02+00:00,-65.7916,43.3528,11864.34,False,295.88,67.4,1.3,11871.96,3510,6
4ca87d,ITY651  ,Ireland,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-72.9818,45.5992,11696.7,False,249.92,70.52,-0.33,11887.2,6325,6
aa234a,AAL2776 ,United States,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-71.2114,42.3532,1767.84,False,129.57,237.32,-0.65,1889.76,3531,4
7c7701,JST507  ,Australia,1729029964.0,1729029964,2024-10-15 22:06:04+00:00,148.3849,-35.9637,11148.06,False,190.79,235.32,0.0,10980.42,3640,1
896455,UAE42   ,United Arab Emirates,1729029753.0,1729029817,2024-10-15 22:03:37+00:00,35.9993,31.7171,10927.08,False,0.51,0.0,0.0,11887.2,1653,6
aa9800,AMX071  ,United States,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,11.2981,41.9756,6096.0,False,218.16,299.53,10.08,5753.1,1213,6
ac1e56,FDX92   ,United States,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-72.1925,41.2053,11163.3,False,295.78,86.71,0.0,11277.6,5754,6
3965a0,AFR256  ,France,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,27.2841,44.0201,9715.5,False,289.89,116.79,0.0,9448.8,0657,1
aad213,AAL57   ,United States,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-80.9505,29.0001,12123.42,False,233.49,176.46,0.0,11582.4,0721,1
a5cd55,GTI9362 ,United States,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,132.8046,36.3743,12725.4,False,201.11,252.58,0.0,12192.0,6111,1
3965b3,AFR116  ,France,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,19.4102,46.3802,9768.84,False,291.51,103.06,0.0,9448.8,7567,1
a009a4,AAL274  ,United States,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-113.0899,34.8896,11132.82,False,243.67,64.35,0.0,10675.62,5232,1
ab9b84,ACES01  ,United States,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-110.5947,33.4489,8107.68,False,205.34,302.93,-2.6,7741.92,1764,13
a81a76,FDX505  ,United States,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-85.5567,40.6084,8237.22,False,211.11,39.86,-3.58,8473.44,1614,1
e80413,LAN407  ,Chile,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-58.2849,-34.8838,11384.28,False,196.52,286.11,0.0,10972.8,6006,1
ac382e,DAL766  ,United States,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-98.8227,40.9751,9464.04,False,240.97,252.61,0.0,9144.0,4140,4
485344,KLM685  ,Kingdom of the Netherlands,1729029963.0,1729029964,2024-10-15 22:06:04+00:00,-98.1558,30.6049,12390.12,False,244.27,201.76,-0.33,11887.2,5473,6
ab9b13,AAL2786 ,United States,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-77.6223,40.3095,7399.02,False,240.27,90.74,0.0,7620.0,7647,1
485342,KLM807  ,Kingdom of the Netherlands,1729029964.0,1729029964,2024-10-15 22:06:04+00:00,44.4496,41.442,11026.14,False,284.09,99.91,-0.33,10660.38,1411,6
aaa96f,SWA2557 ,United States,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-116.9435,32.6833,1211.58,False,93.48,264.95,-0.33,1188.72,1701,1
a38c95,FFT1020 ,United States,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-112.4532,34.6742,7947.66,False,216.77,141.55,0.33,7620.0,2631,1
7c168a,EQK     ,Australia,1729029918.0,1729029918,2024-10-15 22:05:18+00:00,138.3449,-34.4358,792.48,False,54.99,332.72,0.0,784.86,1200,2
461f4b,FIN99   ,Finland,1729029964.0,1729029964,2024-10-15 22:06:04+00:00,23.9947,58.1222,9174.48,False,266.66,190.9,6.5,9273.54,6005,6
461f4c,FIN131  ,Finland,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,23.8614,57.7921,9197.34,False,269.39,182.85,3.9,9288.78,4502,6
a2b060,UAL2381 ,United States,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-119.3556,34.2901,10195.56,False,235.75,309.42,0.0,9753.6,7734,1
