Time of Departure,Departure Airport,Arrival Airport,Arrival Time
1672985854.0,LJLJ,EDDF,1672989700
1672983613.0,ENGM,EDDF,1672989696
1672957333.0,VIDP,EDDF,1672989502
1672984469.0,EKCH,EDDF,1672989445
1672961531.0,CYYZ,EDDF,1672989414
1672986764.0,LSZH,EDDF,1672989205
1672985478.0,,EDDF,1672989134
1672982105.0,ENBR,EDDF,1672989107
1672959171.0,,EDDF,1672988995
1672984448.0,LDZA,EDDF,1672988936
1672952097.0,VOMM,EDDF,1672988825
1672982167.0,LEBL,EDDF,1672988789
1672961530.0,KORD,EDDF,1672988753
1672984023.0,EPKT,EDDF,1672988668
1672957944.0,,EDDF,1672988519
1672981518.0,,EDDF,1672988470
1672980276.0,LROP,EDDF,1672988429
1672984809.0,LIML,EDDF,1672988369
1672984305.0,EKBI,EDDF,1672988353
1672985604.0,EDDM,EDDF,1672988308
1672983616.0,,EDDF,1672988236
1672982853.0,EIDW,EDDF,1672988159
1672984013.0,LIPE,EDDF,1672988127
1672985270.0,EBBR,EDDF,1672988068
1672982543.0,LFBO,EDDF,1672988018
1672977596.0,LTFM,EDDF,1672987909
1672975958.0,,EDDF,1672987848
1672982949.0,EPKK,EDDF,1672987796
1672957337.0,KDFW,EDDF,1672987618
1672982082.0,LHBP,EDDF,1672987587
1672972092.0,,EDDF,1672987536
1672984916.0,LSZM,EDDF,1672987348
1672975366.0,,EDDF,1672987317
1672983944.0,EDDB,EDDF,1672987288
1672983474.0,EPPO,EDDF,1672987229
1672984138.0,EDDC,EDDF,1672987214
1672935550.0,VHHH,EDDF,1672987187
1672984698.0,EDDP,EDDF,1672987045
1672978598.0,,EDDF,1672986987
1672958373.0,KMIA,EDDF,1672986893
1672983467.0,LIML,EDDF,1672986797
1672983928.0,LOWS,EDDF,1672986776
1672984494.0,EDDG,EDDF,1672986596
1672984588.0,ELLX,EDDF,1672986479
1672982232.0,LOWW,EDDF,1672986448
1672957413.0,KATL,EDDF,1672986418
1672982033.0,LIPX,EDDF,1672986355
1672963268.0,KPHL,EDDF,1672986173
1672984330.0,EDDS,EDDF,1672986084
1672970925.0,,EDDF,1672986068
1672969710.0,,EDDF,1672986044
1672926067.0,EGPF,EDDF,1672986014
1672970547.0,OLBA,EDDF,1672985995
1672983685.0,EDDL,EDDF,1672985981
1672963147.0,CYUL,EDDF,1672985752
,,EDDF,1672985736
1672981551.0,LIMF,EDDF,1672985595
1672964217.0,,EDDF,1672985488
1672959355.0,KDTW,EDDF,1672985447
1672982893.0,EDDV,EDDF,1672985338
1672982953.0,EDDW,EDDF,1672985331
1672962130.0,KEWR,EDDF,1672985165
1672932674.0,,EDDF,1672985005
1672981852.0,LOWL,EDDF,1672984975
1672960948.0,KIAD,EDDF,1672984896
1672981848.0,EDDH,EDDF,1672984707
1672979764.0,,EDDF,1672984691
1672960296.0,OMAA,EDDF,1672984546
,,EDDF,1672984403
1672924755.0,VTBS,EDDF,1672984238
1672982205.0,EDDN,EDDF,1672984130
1672957584.0,KCLT,EDDF,1672984014
1672970229.0,,EDDF,1672983897
1672960850.0,OKBK,EDDF,1672983592
1672941057.0,VTBS,EDDF,1672983535
1672959760.0,KJFK,EDDF,1672983504
1672936734.0,,EDDF,1672983417
1672960822.0,OTHH,EDDF,1672983294
1672941035.0,,EDDF,1672983088
1672967178.0,,EDDF,1672982934
1672934813.0,VHHH,EDDF,1672982699
1672950988.0,,EDDF,1672982549
1672959715.0,,EDDF,1672982458
1672937908.0,,EDDF,1672982128
1672970190.0,GMMN,EDDF,1672981286
1672954483.0,KDTW,EDDF,1672980953
1672957208.0,,EDDF,1672980898
1672928360.0,RJTT,EDDF,1672980058
1672968772.0,,EDDF,1672979825
1672968000.0,,EDDF,1672979666
1672930575.0,,EDDF,1672979537
1672968011.0,,EDDF,1672979459
1672976025.0,LFPG,EDDF,1672979339
1672972847.0,,EDDF,1672979032
1672955420.0,KBOS,EDDF,1672978828
1672972547.0,,EDDF,1672978771
1672936812.0,FACT,EDDF,1672978764
1672952320.0,KORD,EDDF,1672978599
1672930356.0,SAEZ,EDDF,1672978528
1672975774.0,EDDP,EDDF,1672978524
1672975874.0,EDDP,EDDF,1672978524
1672971455.0,EIDW,EDDF,1672978101
1672970421.0,,EDDF,1672978073
1672941682.0,FAOR,EDDF,1672978017
1672943469.0,,EDDF,1672957598
1672950467.0,EGLL,EDDF,1672954430
1672943520.0,LTFM,EDDF,1672954014
1672948689.0,EPWA,EDDF,1672953798
1672944217.0,LPPT,EDDF,1672953582
1672945784.0,LEMD,EDDF,1672953224
1672950499.0,EHAM,EDDF,1672953087
1672948373.0,LFPG,EDDF,1672951471
1672936841.0,,EDDF,1672951169
1672947234.0,LOWW,EDDF,1672951015
1672946223.0,EGLC,EDDF,1672950115
1672947434.0,EDDM,EDDF,1672949560
1672942440.0,ESSA,EDDF,1672948767
1672935376.0,LPMA,EDDF,1672948730
1672944315.0,EGLL,EDDF,1672948109
1672942561.0,ENGM,EDDF,1672948019
1672938002.0,LPFR,EDDF,1672947832
1672944263.0,EGSS,EDDF,1672947791
1672940262.0,,EDDF,1672947748
1672942569.0,ESMQ,EDDF,1672947679
1672942204.0,EIDW,EDDF,1672947592
1672941614.0,LIRF,EDDF,1672947387
1672932700.0,,EDDF,1672947153
1672942055.0,LFML,EDDF,1672946986
1672944480.0,EHAM,EDDF,1672946864
1672901558.0,MMMX,EDDF,1672946694
1672937910.0,LPPR,EDDF,1672946619
1672942074.0,EGBB,EDDF,1672946610
1672939470.0,LEPA,EDDF,1672946546
1672930775.0,LLBG,EDDF,1672946517
1672942489.0,LIPZ,EDDF,1672946488
1672941930.0,EGGD,EDDF,1672946418
1672940896.0,EPKK,EDDF,1672946369
1672942080.0,EKCH,EDDF,1672946367
1672937041.0,LPPT,EDDF,1672946360
1672939961.0,LEBL,EDDF,1672946354
1672942253.0,LOWW,EDDF,1672946331
1672942650.0,LIML,EDDF,1672946087
1672936493.0,,EDDF,1672946025
1672943050.0,EBBR,EDDF,1672946006
1672942381.0,LSGG,EDDF,1672945915
1672923016.0,OTHH,EDDF,1672945885
1672931550.0,,EDDF,1672945846
1672921742.0,,EDDF,1672945717
1672937664.0,LBSF,EDDF,1672945707
1672941518.0,LOWG,EDDF,1672945642
1672942890.0,LSZH,EDDF,1672945467
1672933506.0,BIKF,EDDF,1672945461
1672941603.0,EGLL,EDDF,1672945421
1672941664.0,EGLC,EDDF,1672945298
1672942719.0,EDDB,EDDF,1672945254
1672942549.0,LKPR,EDDF,1672944959
1672941976.0,LFPG,EDDF,1672944824
1672940264.0,LFRS,EDDF,1672944679
1672941953.0,EDDM,EDDF,1672944659
1672941836.0,EDDH,EDDF,1672944525
1672942140.0,EHAM,EDDF,1672944485
1672940659.0,LIMC,EDDF,1672944358
1672894534.0,,EDDF,1672944284
1672887406.0,VTBS,EDDF,1672944040
1672936766.0,EETN,EDDF,1672943873
1672941096.0,EDDB,EDDF,1672943716
1672929900.0,,EDDF,1672943388
1672939662.0,EKCH,EDDF,1672943272
1672935620.0,LEMD,EDDF,1672943202
1672940676.0,LSZH,EDDF,1672943140
1672931314.0,,EDDF,1672943103
1672938541.0,LDZL,EDDF,1672943055
1672939620.0,LSGG,EDDF,1672942909
1672938902.0,EGLC,EDDF,1672942499
1672939696.0,EHRD,EDDF,1672942430
1672930548.0,,EDDF,1672942376
1672899130.0,VTBS,EDDF,1672942326
1672938714.0,LFPG,EDDF,1672942249
1672892098.0,RJTT,EDDF,1672942065
1672926960.0,LLBG,EDDF,1672941957
1672939325.0,EBMB,EDDF,1672941550
1672934760.0,LEBL,EDDF,1672941488
1672937944.0,LIML,EDDF,1672941354
1672924324.0,,EDDF,1672941322
1672938471.0,EDDH,EDDF,1672941231
1672938699.0,EDDM,EDDF,1672941077
1672935846.0,EIDW,EDDF,1672941073
